latitude,longitude,elevation_meters,original_street1,original_street2,original_city,original_state,original_zip,full_address_used
38.8315147,-77.2098313,89.0,7619 Little River Turnpike,,Annandale,VA,22003,"7619 Little River Turnpike, Annandale, VA, 22003"
,,,"180 Ted Turner Drive, SW, Suite 332",,Atlanta,GA,30303,"180 Ted Turner Drive, SW, Suite 332, Atlanta, GA, 30303"
33.7495519,-84.3973214,323.0,180 Ted Turner Dr. SW,,Atlanta,GA,30303,"180 Ted Turner Dr. SW, Atlanta, GA, 30303"
,,,"401 W. Peachtree Street, NW, Suite 2850",,Atlanta,GA,30308,"401 W. Peachtree Street, NW, Suite 2850, Atlanta, GA, 30308"
,,,1100 Centre Parkway,,Atlanta,GA,30344,"1100 Centre Parkway, Atlanta, GA, 30344"
,,,"31 Hopkins Plaza, Room 1600",,Baltimore,MD,21201,"31 Hopkins Plaza, Room 1600, Baltimore, MD, 21201"
,,,"40 South Gay Street, 3rd Floor",,Baltimore,MD,21202,"40 South Gay Street, 3rd Floor, Baltimore, MD, 21202"
43.0203104,-78.2024802,279.0,4250 Federal Drive,,Batavia,NY,14020,"4250 Federal Drive, Batavia, NY, 14020"
,,,"15 New Sudbury Street, Room 425",,Boston,MA,2203,"15 New Sudbury Street, Room 425, Boston, MA, 2203"
42.3651998,-71.0631178,8.0,10 Causeway Street,,Boston,MA,2222,"10 Causeway Street, Boston, MA, 2222"
,,,"925 Keynote Circle, Room 201",,Brooklyn Heights,OH,44131,"925 Keynote Circle, Room 201, Brooklyn Heights, OH, 44131"
42.8912883,-78.8768694,187.0,250 Delaware Ave,,Buffalo,NY,14202,"250 Delaware Ave, Buffalo, NY, 14202"
,,,"250 Delaware Avenue, Suite 773",,Buffalo,NY,14202,"250 Delaware Avenue, Suite 773, Buffalo, NY, 14202"
,,,"130 Delaware Avenue, Ste 300",,Buffalo,NY,14202,"130 Delaware Avenue, Ste 300, Buffalo, NY, 14202"
,,,"250 Delaware Avenue, Floor 7",,Buffalo,NY,14202,"250 Delaware Avenue, Floor 7, Buffalo, NY, 14202"
42.4826346,-71.2088722,45.0,1000 District Avenue,,Burlington,MA,1803,"1000 District Avenue, Burlington, MA, 1803"
31.8035481,-106.2885969,1224.0,11541 Montana Ave,,El Paso,TX,79936,"11541 Montana Ave, El Paso, TX, 79936"
31.8035481,-106.2885969,1224.0,11541 Montana Avenue,,El Paso,TX,79936,"11541 Montana Avenue, El Paso, TX, 79936"
31.7985835,-106.3296452,1214.0,11541 Montana Avenue,,El Paso,TX,79925,"11541 Montana Avenue, El Paso, TX, 79925"
,,,"11541 Montana Avenue, Suite O",,El Paso,TX,79936,"11541 Montana Avenue, Suite O, El Paso, TX, 79936"
,,,"625 Evans Street, Room 135",,Elizabeth,NJ,7201,"625 Evans Street, Room 135, Elizabeth, NJ, 7201"
32.8176772,-111.51927,464.0,1705 East Hanna Road,,Eloy,AZ,85131,"1705 East Hanna Road, Eloy, AZ, 85131"
38.855899,-77.3372812,142.0,11320 Random Hills Road,,Fairfax,VA,22030,"11320 Random Hills Road, Fairfax, VA, 22030"
,,,3250 N. Pinal Parkway Avenue,,Florence,AZ,85132,"3250 N. Pinal Parkway Avenue, Florence, AZ, 85132"
,,,"1 Federal Drive, Suite 1800",,Fort Snelling,MN,55111,"1 Federal Drive, Suite 1800, Fort Snelling, MN, 55111"
,,,"1 Federal Drive, Ste 1340",,Fort Snelling,MN,55111,"1 Federal Drive, Ste 1340, Fort Snelling, MN, 55111"
44.894544,-93.196983,246.0,1 Federal Drive,,Fort Snelling,MN,55111,"1 Federal Drive, Fort Snelling, MN, 55111"
44.894544,-93.196983,246.0,1 Federal Drive,,Fort Snelling,MN,55111,"1 Federal Drive, Fort Snelling, MN, 55111"
39.6182237,-104.8973875,1731.0,5445 DTC Pkwy,,Greenwood Village,CO,80111,"5445 DTC Pkwy, Greenwood Village, CO, 80111"
,,,"1717 Zoy Street, Annex",,Harlingen,TX,78552,"1717 Zoy Street, Annex, Harlingen, TX, 78552"
26.178023,-97.7141244,15.0,1717 Zoy Street,,Harlingen,TX,78552,"1717 Zoy Street, Harlingen, TX, 78552"
26.178023,-97.7141244,15.0,1717 Zoy Street,,Harlingen,TX,78552,"1717 Zoy Street, Harlingen, TX, 78552"
,,,"450 Main Street, Room 483",,Hartford,CT,06103-3060,"450 Main Street, Room 483, Hartford, CT, 06103-3060"
21.2997796,-157.863838,2.0,595 Ala Moana Boulevard,,Honolulu,HI,96813,"595 Ala Moana Boulevard, Honolulu, HI, 96813"
21.3034379,-157.8622788,8.0,300 Ala Moana Boulevard,,Honolulu,HI,96850,"300 Ala Moana Boulevard, Honolulu, HI, 96850"
,,,"250 Delaware Avenue, Floor 7",,Buffalo,NY,14202,"250 Delaware Avenue, Floor 7, Buffalo, NY, 14202"
42.4826346,-71.2088722,45.0,1000 District Avenue,,Burlington,MA,1803,"1000 District Avenue, Burlington, MA, 1803"
29.938091,-95.407008,28.0,126 Northpoint Drive,,Houston,TX,77060,"126 Northpoint Drive, Houston, TX, 77060"
,,,"126 Northpoint Drive, Room 2020",,Houston,TX,77060,"126 Northpoint Drive, Room 2020, Houston, TX, 77060"
,,,4141 N. Sam Houston Parkway East #300,,Houston,TX,77032,"4141 N. Sam Houston Parkway East #300, Houston, TX, 77032"
38.9678446,-76.952992,38.0,6505 Belcrest Road,,Hyattsville,MD,20782,"6505 Belcrest Road, Hyattsville, MD, 20782"
,,,"500 12th Street, S.W., Stop 5904",,Washington,DC,20536-5904,"500 12th Street, S.W., Stop 5904, Washington, DC, 20536-5904"
32.8263945,-115.5787933,-13.0,2409 La Brucherie Road,,Imperial,CA,92251,"2409 La Brucherie Road, Imperial, CA, 92251"
39.7745729,-86.1554176,214.0,575 N. Pennsylvania Street,,Indianapolis,IN,46204,"575 N. Pennsylvania Street, Indianapolis, IN, 46204"
,,,"125 E. John Carpenter Fwy., Suite 500",,Irving,TX,75062,"125 E. John Carpenter Fwy., Suite 500, Irving, TX, 75062"
32.8666338,-96.9436262,137.0,125 E. John Carpenter Freeway,,Irving,TX,75062,"125 E. John Carpenter Freeway, Irving, TX, 75062"
31.7088575,-92.1529335,69.0,830 Pinehill Road,,Jena,LA,71342,"830 Pinehill Road, Jena, LA, 71342"
,,,"2345 Grand Boulevard, Suite 500",,Kansas City,MO,64108,"2345 Grand Boulevard, Suite 500, Kansas City, MO, 64108"
39.1677284,-94.5987458,253.0,4100 N Mulberry Drive,,Kansas City,MO,64116,"4100 N Mulberry Drive, Kansas City, MO, 64116"
,,,"501 S. Las Vegas Blvd, Suite 200",,Las Vegas,NV,89101,"501 S. Las Vegas Blvd, Suite 200, Las Vegas, NV, 89101"
36.164428,-115.143673,614.0,501 Las Vegas Boulevard South,,Las Vegas,NV,89101,"501 Las Vegas Boulevard South, Las Vegas, NV, 89101"
41.8451881,-88.0007047,224.0,747 E. 22nd Street,,Lombard,IL,60148,"747 E. 22nd Street, Lombard, IL, 60148"
,,,"501 West Ocean Boulevard, Ste 7200",,Long Beach,CA,90802,"501 West Ocean Boulevard, Ste 7200, Long Beach, CA, 90802"
,,,"606 South Olive Street, 8th Floor",,Los Angeles,CA,90014,"606 South Olive Street, 8th Floor, Los Angeles, CA, 90014"
34.0538618,-118.2398013,91.0,300 North Los Angeles St.,,Los Angeles,CA,90012,"300 North Los Angeles St., Los Angeles, CA, 90012"
34.0537473,-118.2396971,91.0,300 N. Los Angeles Street,,Los Angeles,CA,90012,"300 N. Los Angeles Street, Los Angeles, CA, 90012"
34.0537473,-118.2396971,91.0,300 N. Los Angeles Street,,Los Angeles,CA,90012,"300 N. Los Angeles Street, Los Angeles, CA, 90012"
26.1563622,-97.337839,6.0,27991 Buena Vista Blvd,,Los Fresnos,TX,78566,"27991 Buena Vista Blvd, Los Fresnos, TX, 78566"
,,,146 CCA Road,,Lumpkin,GA,31815,"146 CCA Road, Lumpkin, GA, 31815"
,,,"80 Monroe Avenue, Suite 200",,Memphis,TN,38103,"80 Monroe Avenue, Suite 200, Memphis, TN, 38103"
25.7914523,-80.3784688,5.0,11226 NW 20th Street,,Miami,FL,33172,"11226 NW 20th Street, Miami, FL, 33172"
,,,"333 S. Miami Avenue, Suite 200",,Miami,FL,33130,"333 S. Miami Avenue, Suite 200, Miami, FL, 33130"
25.7547717,-80.4908502,3.0,18201 SW 12th Street,,Miami,FL,33194-2700,"18201 SW 12th Street, Miami, FL, 33194-2700"
25.7914523,-80.3784688,5.0,11226 NW 20th Street,,Miami,FL,33172,"11226 NW 20th Street, Miami, FL, 33172"
25.7914523,-80.3784688,5.0,11226 Northwest 20th Street,,Miami,FL,33172,"11226 Northwest 20th Street, Miami, FL, 33172"
36.225714,-86.7897697,157.0,501 Brick Church Park Drive,,Nashville,TN,37207,"501 Brick Church Park Drive, Nashville, TN, 37207"
29.9515122,-90.0662021,14.0,423 Canal Street,,New Orleans,LA,70130,"423 Canal Street, New Orleans, LA, 70130"
,,,"1250 Poydras Street, Ste 2200",,New Orleans,LA,70113,"1250 Poydras Street, Ste 2200, New Orleans, LA, 70113"
29.9504324,-90.0769488,13.0,1250 Poydras Street,,New Orleans,LA,70113,"1250 Poydras Street, New Orleans, LA, 70113"
,,,"26 Federal Plaza, Room 1130",,New York,NY,10278,"26 Federal Plaza, Room 1130, New York, NY, 10278"
,,,"201 Varick Street, Room 738",,New York,NY,10014,"201 Varick Street, Room 738, New York, NY, 10014"
,,,601 W. 26th Street 7th Floor,,New York,NY,10001,"601 W. 26th Street 7th Floor, New York, NY, 10001"
40.7516485,-74.0067152,28.0,601 W. 26th Street,,New York,NY,10001,"601 W. 26th Street, New York, NY, 10001"
,,,"970 Broad Street, Room 1300",,Newark,NJ,7102,"970 Broad Street, Room 1300, Newark, NJ, 7102"
,,,970 Broad St. 11th Floor,,Newark,NJ,7102,"970 Broad St. 11th Floor, Newark, NJ, 7102"
40.7301239,-74.1742223,10.0,970 Broad Street,,Newark,NJ,7102,"970 Broad Street, Newark, NJ, 7102"
40.700661,-74.1963198,14.0,620 Frelinghuysen Avenue,,Newark,NJ,7114,"620 Frelinghuysen Avenue, Newark, NJ, 7114"
41.515749,-74.1109983,164.0,15 Governor Drive,,Newburgh,NY,12550,"15 Governor Drive, Newburgh, NY, 12550"
30.8321814,-92.6369891,40.0,1010 E. Whatley Road,,Oakdale,LA,71463-1128,"1010 E. Whatley Road, Oakdale, LA, 71463-1128"
,,,"1717 Avenue H, Room 174",,Omaha,NE,68110,"1717 Avenue H, Room 174, Omaha, NE, 68110"
28.5499655,-81.3795344,31.0,500 North Orange Avenue,,Orlando,FL,32801,"500 North Orange Avenue, Orlando, FL, 32801"
28.8946514,-99.1219428,186.0,566 Veterans Drive,,Pearsall,TX,78061,"566 Veterans Drive, Pearsall, TX, 78061"
,,,"900 Market Street, Suite 346",,Philadelphia,PA,19107,"900 Market Street, Suite 346, Philadelphia, PA, 19107"
39.9533663,-75.1532037,12.0,114 North 8th Street,,Philadelphia,PA,19107,"114 North 8th Street, Philadelphia, PA, 19107"
,,,"220 Chestnut Street, Ste 200",,Philadelphia,PA,19106,"220 Chestnut Street, Ste 200, Philadelphia, PA, 19106"
39.9483253,-75.1443129,17.0,220 Chestnut Street,,Philadelphia,PA,19106,"220 Chestnut Street, Philadelphia, PA, 19106"
33.4707941,-112.0730845,336.0,2035 N. Central Avenue,,Phoenix,AZ,85004,"2035 N. Central Avenue, Phoenix, AZ, 85004"
33.4707941,-112.0730845,336.0,2035 N. Central Avenue,,Phoenix,AZ,85004,"2035 N. Central Avenue, Phoenix, AZ, 85004"
,,,"4041 North Central Ave, Ste 1650",,Phoenix,AZ,85012,"4041 North Central Ave, Ste 1650, Phoenix, AZ, 85012"
26.1091223,-80.2548143,4.0,865 SW 78th Avenue,,Plantation,FL,33324,"865 SW 78th Avenue, Plantation, FL, 33324"
26.2759099,-80.15197,5.0,3900 North Powerline Road,,Pompano Beach,FL,33073,"3900 North Powerline Road, Pompano Beach, FL, 33073"
,,,"1220 SW 3rd Avenue, Suite 300",,Portland,OR,97204,"1220 SW 3rd Avenue, Suite 300, Portland, OR, 97204"
38.9504058,-77.3673775,127.0,12200 Sunrise Valley Drive,,Reston,VA,20191,"12200 Sunrise Valley Drive, Reston, VA, 20191"
37.7994623,-122.4600686,32.0,100 Montgomery Street,,San Francisco,CA,94104,"100 Montgomery Street, San Francisco, CA, 94104"
,,,"1015 Jackson-Keller Road, Suite 100",,San Antonio,TX,78213,"1015 Jackson-Keller Road, Suite 100, San Antonio, TX, 78213"
29.5170764,-98.4364427,238.0,1777 NE Loop 410,,San Antonio,TX,78217,"1777 NE Loop 410, San Antonio, TX, 78217"
,,,"1777 NE Loop 410, Floor 15",,San Antonio,TX,78217,"1777 NE Loop 410, Floor 15, San Antonio, TX, 78217"
29.5211873,-98.4897092,253.0,45 NE Loop 410,,San Antonio,TX,78216,"45 NE Loop 410, San Antonio, TX, 78216"
29.503696,-98.5085833,245.0,1015 Jackson Keller Road,,San Antonio,TX,78213,"1015 Jackson Keller Road, San Antonio, TX, 78213"
,,,"880 Front Street, Suite 2246",,San Diego,CA,92101,"880 Front Street, Suite 2246, San Diego, CA, 92101"
32.7143692,-117.1647966,3.0,880 Front Street,,San Diego,CA,92101,"880 Front Street, San Diego, CA, 92101"
32.7143692,-117.1647966,3.0,880 Front Street,,San Diego,CA,92101,"880 Front Street, San Diego, CA, 92101"
,,,"100 Montgomery Street, Suite 200",,San Francisco,CA,94104,"100 Montgomery Street, Suite 200, San Francisco, CA, 94104"
37.796256,-122.4014395,14.0,630 Sansome Street,,San Francisco,CA,94111,"630 Sansome Street, San Francisco, CA, 94111"
,,,"630 Sansome Street, Ste 590",,San Francisco,CA,94111,"630 Sansome Street, Ste 590, San Francisco, CA, 94111"
37.796256,-122.4014395,14.0,630 Sansome Street,,San Francisco,CA,94111,"630 Sansome Street, San Francisco, CA, 94111"
,,,"800 Juan Ponce de Leon Avenue, 12th Floor",,San Juan,PR,908,"800 Juan Ponce de Leon Avenue, 12th Floor, San Juan, PR, 908"
33.7101198,-117.8551067,19.0,1251 E. Dyer Road,,Santa Ana,CA,92705,"1251 E. Dyer Road, Santa Ana, CA, 92705"
33.6190848,-111.9201407,444.0,14641 North 74th Street,,Scottsdale,AZ,85260,"14641 North 74th Street, Scottsdale, AZ, 85260"
47.6723271,-122.3821463,33.0,915 Second Avenue,,Seattle,WA,98174,"915 Second Avenue, Seattle, WA, 98174"
,,,12500 Tukwila International Boulevard,,Seattle,WA,98168,"12500 Tukwila International Boulevard, Seattle, WA, 98168"
,,,12500 Tukwila International Blvd,,Seattle,WA,98168,"12500 Tukwila International Blvd, Seattle, WA, 98168"
47.6056743,-122.3351143,26.0,1000 Second Avenue,,Seattle,WA,98104,"1000 Second Avenue, Seattle, WA, 98104"
39.0306976,-77.4101154,95.0,21400 Ridgetop Circle,,Sterling,VA,20166,"21400 Ridgetop Circle, Sterling, VA, 20166"
,,,"1623 East J Street, Suite 2",,Tacoma,WA,98421,"1623 East J Street, Suite 2, Tacoma, WA, 98421"
,,,"2203 North Lois Avenue, Ste 300",,Tampa,FL,33607,"2203 North Lois Avenue, Ste 300, Tampa, FL, 33607"
27.9609172,-82.513195,8.0,2203 North Lois Avenue,,Tampa,FL,33607,"2203 North Lois Avenue, Tampa, FL, 33607"
32.1353209,-110.9260223,794.0,6431 S. Country Club Road,,Tucson,AZ,85706,"6431 S. Country Club Road, Tucson, AZ, 85706"
34.1833902,-118.4486138,218.0,6230 Van Nuys Boulevard,,Van Nuys,CA,91401,"6230 Van Nuys Boulevard, Van Nuys, CA, 91401"
,,,"2975 Decker Lake Drive, Stop C",,West Valley City,UT,84119-6098,"2975 Decker Lake Drive, Stop C, West Valley City, UT, 84119-6098"
40.7069412,-111.9466934,1292.0,2975 Decker Lake Drive,,West Valley City,UT,84119-6096,"2975 Decker Lake Drive, West Valley City, UT, 84119-6096"
44.4497796,-73.1167023,104.0,188 Harvest Lane,,Williston,VT,5495,"188 Harvest Lane, Williston, VT, 5495"
39.9338493,-76.680734,184.0,2350 Freedom Way,,York,PA,17402,"2350 Freedom Way, York, PA, 17402"
